Mass/Charge	Intensity
261	0
261.12	0
261.24	0
261.36	0
261.48	0
261.6	0
261.72	0
261.84	0
261.96	0
262.08	0
262.2	0
262.32	0
262.44	0
262.56	0
262.68	0
262.8	0
262.92	0
263.04	0
263.16	11904.7618012816
263.28	0
263.4	11904.7618012816
263.52	0
263.64	0
263.76	0
263.88	0
264	0
264.12	0
264.24	0
264.36	0
264.48	0
264.6	0
264.72	0
264.84	0
264.96	0
265.08	0
265.2	0
265.32	0
265.44	0
265.56	0
265.68	0
265.8	0
265.92	0
266.04	0
266.16	0
266.28	0
266.4	0
266.52	0
266.64	0
266.76	0
266.88	0
267	0
267.12	0
267.24	0
267.36	0
267.48	0
267.6	0
267.72	0
267.84	0
267.96	0
268.08	0
268.2	0
268.32	0
268.44	0
268.56	0
268.68	0
268.8	0
268.92	0
269.04	0
269.16	0
269.28	0
269.4	0
269.52	0
269.64	0
269.76	0
269.88	0
270	0
270.12	0
270.24	0
270.36	0
270.48	0
270.6	0
270.72	0
270.84	0
270.96	0
271.08	0
271.2	0
271.32	0
271.44	0
271.56	0
271.68	0
271.8	0
271.92	0
272.04	0
272.16	0
272.28	0
272.4	0
272.52	0
272.64	0
272.76	0
272.88	0
273	0
273.12	0
273.24	0
273.36	0
273.48	0
273.6	0
273.72	0
273.84	0
273.96	0
274.08	0
274.2	0
274.32	0
274.44	0
274.56	0
274.68	0
274.8	0
274.92	0
275.04	0
275.16	0
275.28	0
275.4	0
275.52	0
275.64	0
275.76	0
275.88	0
276	0
276.12	0
276.24	0
276.36	0
276.48	0
276.6	0
276.72	0
276.84	0
276.96	11904.7618012816
277.08	0
277.2	0
277.32	0
277.44	0
277.56	0
277.68	0
277.8	0
277.92	0
278.04	0
278.16	0
278.28	0
278.4	0
278.52	0
278.64	0
278.76	0
278.88	0
279	0
279.12	0
279.24	11904.7618012816
279.36	0
279.48	0
279.6	0
279.72	0
279.84	0
279.96	0
280.08	0
280.2	0
280.32	0
280.44	0
280.56	0
280.68	0
280.8	0
280.92	0
281.04	0
281.16	23809.5236025632
281.28	23809.5236025632
281.4	0
281.52	0
281.64	0
281.76	0
281.88	0
282	0
282.12	0
282.24	0
282.36	0
282.48	0
282.6	0
282.72	0
282.84	0
282.96	0
283.08	0
283.2	0
283.32	0
283.44	0
283.56	0
283.68	0
283.8	0
283.92	0
284.04	0
284.16	0
284.28	0
284.4	0
284.52	0
284.64	0
284.76	0
284.88	0
285	0
285.12	0
285.24	0
285.36	0
285.48	0
285.6	0
285.72	0
285.84	0
285.96	0
286.08	0
286.2	0
286.32	0
286.44	0
286.56	0
286.68	0
286.8	0
286.92	0
287.04	0
287.16	0
287.28	0
287.4	0
287.52	0
287.64	0
287.76	0
287.88	0
288	0
288.12	0
288.24	0
288.36	0
288.48	0
288.6	0
288.72	0
288.84	0
288.96	0
289.08	0
289.2	0
289.32	0
289.44	0
289.56	0
289.68	0
289.8	0
289.92	0
290.04	0
290.16	0
290.28	0
290.4	0
290.52	0
290.64	0
290.76	0
290.88	0
291	0
291.12	0
291.24	0
291.36	0
